Name,Version,License,URL
es6-set,0.1.5,MIT,http://www.medikoo.com/
es6-shim,0.35.3,MIT,https://github.com/paulmillr/es6-shim/
es6-symbol,3.1.1,MIT,http://www.medikoo.com/
es6-weak-map,2.0.2,MIT,http://www.medikoo.com/
escape-html,1.0.3,MIT,Unknown
escape-string-regexp,1.0.2,MIT,http://sindresorhus.com
escape-string-regexp,1.0.5,MIT,sindresorhus.com
escodegen,1.9.0,Simplified BSD,http://github.com/estools/escodegen
escope,3.6.0,Simplified BSD,http://github.com/estools/escope
eslint,4.13.1,MIT,https://eslint.org/
eslint-config-prettier,2.9.0,MIT,Unknown
eslint-config-standard,10.2.1,MIT,https://github.com/feross/eslint-config-standard
eslint-import-resolver-node,0.3.1,MIT,https://github.com/benmosher/eslint-plugin-import
eslint-loader,1.9.0,MIT,Unknown
eslint-module-utils,2.1.1,MIT,https://github.com/benmosher/eslint-plugin-import#readme
eslint-plugin-babel,3.3.0,MIT,https://github.com/babel/eslint-plugin-babel#readme
eslint-plugin-import,2.8.0,MIT,https://github.com/benmosher/eslint-plugin-import
eslint-plugin-jasmine,2.9.1,MIT,https://github.com/tlvince/eslint-plugin-jasmine
eslint-plugin-jsx-a11y,6.0.3,MIT,Unknown
eslint-plugin-node,5.2.1,MIT,https://github.com/mysticatea/eslint-plugin-node#readme
